month,game,trends_score
2019-01-01,among_us,0
2019-02-01,among_us,0
2019-03-01,among_us,0
2019-04-01,among_us,0
2019-05-01,among_us,0
2019-06-01,among_us,0
2019-07-01,among_us,0
2019-08-01,among_us,0
2019-09-01,among_us,0
2019-10-01,among_us,0
2019-11-01,among_us,0
2019-12-01,among_us,0
2020-01-01,among_us,0
2020-02-01,among_us,0
2020-03-01,among_us,0
2020-04-01,among_us,0
2020-05-01,among_us,0
2020-06-01,among_us,0
2020-07-01,among_us,1
2020-08-01,among_us,4
2020-09-01,among_us,69
2020-10-01,among_us,100
2020-11-01,among_us,71
2020-12-01,among_us,54
2021-01-01,among_us,36
2021-02-01,among_us,27
2021-03-01,among_us,23
2021-04-01,among_us,21
2021-05-01,among_us,17
2021-06-01,among_us,15
2021-07-01,among_us,13
2021-08-01,among_us,13
2021-09-01,among_us,13
2021-10-01,among_us,13
2021-11-01,among_us,12
2021-12-01,among_us,13
2020-06-01,fall_guys,0
2020-07-01,fall_guys,3
2020-08-01,fall_guys,100
2020-09-01,fall_guys,48
2020-10-01,fall_guys,17
2020-11-01,fall_guys,9
2020-12-01,fall_guys,9
2021-01-01,fall_guys,6
2021-02-01,fall_guys,5
2021-03-01,fall_guys,6
2021-04-01,fall_guys,4
2021-05-01,fall_guys,5
2021-06-01,fall_guys,4
2021-07-01,fall_guys,5
2021-08-01,fall_guys,5
2021-09-01,fall_guys,4
2021-10-01,fall_guys,3
2021-11-01,fall_guys,3
2021-12-01,fall_guys,4
2021-06-01,vampire_survivors,0
2021-07-01,vampire_survivors,0
2021-08-01,vampire_survivors,0
2021-09-01,vampire_survivors,0
2021-10-01,vampire_survivors,0
2021-11-01,vampire_survivors,0
2021-12-01,vampire_survivors,0
2022-01-01,vampire_survivors,31
2022-02-01,vampire_survivors,87
2022-03-01,vampire_survivors,56
2022-04-01,vampire_survivors,77
2022-05-01,vampire_survivors,59
2022-06-01,vampire_survivors,41
2022-07-01,vampire_survivors,28
2022-08-01,vampire_survivors,29
2022-09-01,vampire_survivors,22
2022-10-01,vampire_survivors,34
2022-11-01,vampire_survivors,40
2022-12-01,vampire_survivors,91
2023-01-01,vampire_survivors,100
2023-02-01,vampire_survivors,59
2023-03-01,vampire_survivors,42
2023-04-01,vampire_survivors,56
2023-05-01,vampire_survivors,31
2023-06-01,vampire_survivors,29
2023-07-01,vampire_survivors,36
2023-08-01,vampire_survivors,68
2023-09-01,vampire_survivors,63
2023-10-01,vampire_survivors,49
2023-11-01,vampire_survivors,46
2023-12-01,vampire_survivors,57
2023-08-01,lethal_company,0
2023-09-01,lethal_company,0
2023-10-01,lethal_company,0
2023-11-01,lethal_company,51
2023-12-01,lethal_company,100
2024-01-01,lethal_company,73
2024-02-01,lethal_company,34
2024-03-01,lethal_company,18
2024-04-01,lethal_company,21
2024-05-01,lethal_company,11
2024-06-01,lethal_company,12
2024-07-01,lethal_company,12
2024-08-01,lethal_company,14
2024-09-01,lethal_company,12
2024-10-01,lethal_company,11
2024-11-01,lethal_company,11
2024-12-01,lethal_company,11
2025-01-01,lethal_company,14
2025-02-01,lethal_company,12
2025-03-01,lethal_company,9
2025-04-01,lethal_company,5
2025-05-01,lethal_company,4
2025-06-01,lethal_company,6
2025-07-01,lethal_company,4
2025-08-01,lethal_company,4
2025-09-01,lethal_company,3
2025-10-01,lethal_company,5
2025-11-01,lethal_company,4
2025-12-01,lethal_company,5
2026-01-01,lethal_company,5
2026-02-01,lethal_company,4
2026-03-01,lethal_company,4
