month,game,avg_viewers,viewers_gain,viewers_pct_gain,peak_viewers,avg_streams,streams_gain,streams_pct_gain,peak_streams,hours_watched
2020-06-01,fall_guys,33431,,,250502,147,,,1240,4960000
2020-07-01,fall_guys,151685,118254,354.0,708865,3034,2887,20.0,7276,113000000
2020-08-01,fall_guys,50055,-101630,-67.0,586332,1456,-1578,-52.0,4491,36000000
2020-09-01,fall_guys,16040,-34015,-68.0,244346,617,-839,-57.6,2967,11900000
2020-10-01,fall_guys,7314,-8726,-54.4,247796,309,-308,-49.9,611,5260000
2020-11-01,fall_guys,8266,952,13.0,309629,330,21,6.8,1215,6140000
2020-12-01,fall_guys,5238,-3028,-36.6,76180,303,-27,-8.2,581,3890000
2021-01-01,fall_guys,4762,-476,-9.1,84783,260,-43,-14.2,487,3190000
2021-02-01,fall_guys,7172,2410,51.0,136796,323,63,24.2,1355,5320000
2021-03-01,fall_guys,5868,-1304,-18.2,118812,307,-16,-5.0,700,4210000
2021-04-01,fall_guys,4853,-1015,-17.3,63529,233,-74,-24.1,491,3600000
2021-05-01,fall_guys,5373,520,10.7,69567,188,-45,-19.3,385,3860000
2021-06-01,fall_guys,6530,1157,21.5,118503,249,61,32.4,745,4850000
2021-07-01,fall_guys,14151,7621,117.0,235403,304,55,22.1,585,10500000
2021-08-01,fall_guys,7924,-6227,-44.0,121527,252,-52,-17.0,507,5700000
2021-09-01,fall_guys,5637,-2287,-28.9,285555,158,-94,-37.3,370,4180000
2021-10-01,fall_guys,4060,-1577,-28.0,78609,142,-16,-10.1,515,2920000
2021-11-01,fall_guys,6139,2079,51.2,324708,181,39,27.5,502,4560000
2021-12-01,fall_guys,4717,-1422,-23.2,198110,169,-12,-6.6,347,3500000
2022-01-01,fall_guys,4562,-155,-3.3,144303,144,-25,-14.8,313,3040000
2022-02-01,fall_guys,4235,-327,-7.0,154802,146,2,1.4,316,3090000
2022-03-01,fall_guys,5235,1000,23.6,143215,120,-26,-17.8,255,3760000
2022-04-01,fall_guys,6671,1436,27.4,94340,121,1,0.8,281,4940000
2022-05-01,fall_guys,33897,27226,408.0,338798,975,854,706.0,6738,24400000
2022-06-01,fall_guys,60576,26679,78.7,417490,1992,1017,104.0,4490,43900000
2022-07-01,fall_guys,22570,-38006,-62.7,200810,953,-1039,-52.2,2312,16800000
2022-08-01,fall_guys,16480,-6090,-27.0,186914,573,-380,-39.9,1471,11700000
2022-09-01,fall_guys,6538,-9942,-60.3,104716,350,-223,-38.9,1040,4540000
2022-10-01,fall_guys,5057,-1481,-22.7,79559,246,-104,-30.0,603,3640000
2022-11-01,fall_guys,5906,849,16.8,134160,223,-23,-9.3,504,4390000
2022-12-01,fall_guys,5175,-731,-12.4,258370,241,18,8.1,504,3810000
2023-01-01,fall_guys,4319,-856,-16.5,82631,203,-38,-15.8,545,2870000
2023-02-01,fall_guys,3538,-781,-18.1,70762,202,-1,-0.5,478,2600000
2023-03-01,fall_guys,3598,60,1.7,39711,209,7,3.5,455,2580000
2023-04-01,fall_guys,7218,3620,101.0,136683,276,67,32.1,736,5360000
2023-05-01,fall_guys,5936,-1282,-18.0,115838,272,-4,-1.4,526,4260000
2023-06-01,fall_guys,5087,-849,-14.3,90593,287,15,5.5,547,3760000
2023-07-01,fall_guys,4136,-951,-18.7,117244,260,-27,-9.4,496,3060000
2023-08-01,fall_guys,3799,-337,-8.1,55393,215,-45,-17.3,471,2720000
2023-09-01,fall_guys,2510,-1289,-33.9,39426,179,-36,-16.7,392,1860000
2023-10-01,fall_guys,2429,-81,-3.2,45123,154,-25,-14.0,311,1750000
2023-11-01,fall_guys,2370,-59,-2.4,55906,149,-5,-3.2,713,1760000
2023-12-01,fall_guys,2780,410,17.3,72284,173,24,16.0,358,2020000
2024-01-01,fall_guys,2848,68,2.4,88311,164,-9,-5.0,351,1980000
2024-02-01,fall_guys,2896,48,1.7,79943,164,,,586,2150000
2024-03-01,fall_guys,2187,-709,-24.5,126609,134,-30,-18.3,280,1570000
2024-04-01,fall_guys,1760,-427,-20.0,41305,128,-6,-4.5,266,1310000
2024-05-01,fall_guys,1819,59,3.4,45997,130,2,1.6,385,1310000
2024-06-01,fall_guys,2114,295,16.2,53924,132,2,1.5,258,1570000
2024-07-01,fall_guys,2580,466,22.0,67191,154,22,17.0,433,1880000
2024-08-01,fall_guys,2192,-388,-15.0,37791,121,-33,-21.4,267,1560000
2024-09-01,fall_guys,1952,-240,-10.9,43997,97,-24,-19.8,248,1430000
2024-10-01,fall_guys,1461,-491,-25.2,48926,81,-16,-16.5,213,1050000
2024-11-01,fall_guys,1484,23,1.6,42556,77,-4,-4.9,266,1100000
2024-12-01,fall_guys,1937,453,30.5,49155,82,5,6.5,198,1440000
2025-01-01,fall_guys,1504,-433,-22.4,36281,82,,,183,1010000
2025-02-01,fall_guys,1413,-91,-6.1,43933,76,-6,-7.0,162,1050000
2025-03-01,fall_guys,1524,111,8.0,35319,87,11,14.5,216,1100000
2025-04-01,fall_guys,1258,-266,-17.5,33896,79,-8,-9.2,164,936000
2025-05-01,fall_guys,1535,277,22.0,46103,80,1,1.3,229,1110000
2025-06-01,fall_guys,1797,262,17.1,100725,79,-1,-1.3,186,1340000
2025-07-01,fall_guys,1106,-691,-38.5,61270,82,3,3.8,166,822000
2025-08-01,fall_guys,1073,-33,-3.0,38331,65,-17,-20.7,157,773000
2025-09-01,fall_guys,695,-378,-35.2,29475,53,-12,-18.5,137,517000
2025-10-01,fall_guys,806,111,16.0,50623,54,1,1.9,189,581000
2025-11-01,fall_guys,989,183,22.7,41381,53,-1,-2.0,117,736000
2025-12-01,fall_guys,1010,21,2.1,35436,64,11,20.8,144,710000
2026-01-01,fall_guys,1879,869,86.0,251855,60,-4,-6.3,139,1260000
2026-02-01,fall_guys,3445,1566,83.3,115145,65,5,8.3,171,2560000
2026-03-01,fall_guys,1856,-1589,-46.1,76350,61,-4,-6.2,162,1070000
