month,game,avg_viewers,viewers_gain,viewers_pct_gain,peak_viewers,avg_streams,streams_gain,streams_pct_gain,peak_streams,hours_watched
2023-09-01,lethal_company,1415,,,38927,7,,,81,537000
2023-10-01,lethal_company,23713,22298,1600.0,180755,653,646,9200.0,3601,17000000
2023-11-01,lethal_company,36678,12965,54.7,143794,1525,872,134.0,4718,27100000
2023-12-01,lethal_company,22528,-14150,-38.6,100554,1147,-378,-25.0,3774,16500000
2024-01-01,lethal_company,7137,-15391,-68.3,59866,566,-581,-51.0,1751,4960000
2024-02-01,lethal_company,4337,-2800,-39.2,72075,327,-239,-42.2,1124,3220000
2024-03-01,lethal_company,5490,1153,26.6,69914,269,-58,-17.7,825,3930000
2024-04-01,lethal_company,2131,-3359,-61.0,36842,167,-102,-37.9,530,1590000
2024-05-01,lethal_company,1684,-447,-21.0,40429,144,-23,-13.8,435,1210000
2024-06-01,lethal_company,2243,559,33.2,51234,150,6,4.2,412,1670000
2024-07-01,lethal_company,2880,637,28.4,54003,177,27,18.0,722,2110000
2024-08-01,lethal_company,2462,-418,-14.5,48760,181,4,2.3,552,1760000
2024-09-01,lethal_company,2395,-67,-2.7,47529,170,-11,-6.1,566,1750000
2024-10-01,lethal_company,1830,-565,-23.6,24968,149,-21,-12.4,701,1320000
2024-11-01,lethal_company,2331,501,27.4,35104,130,-19,-12.8,359,1730000
2024-12-01,lethal_company,2933,602,25.8,43629,178,48,36.9,537,2170000
2025-01-01,lethal_company,2077,-856,-29.2,30095,170,-8,-4.5,515,1380000
2025-02-01,lethal_company,835,-1242,-59.8,17058,92,-78,-46.0,403,619000
2025-03-01,lethal_company,449,-386,-46.0,17221,43,-49,-53.3,135,323000
2025-04-01,lethal_company,443,-6,-1.3,5827,39,-4,-9.3,115,330000
2025-05-01,lethal_company,914,471,106.0,40477,56,17,43.6,196,658000
2025-06-01,lethal_company,489,-425,-46.5,19022,40,-16,-28.6,129,364000
2025-07-01,lethal_company,382,-107,-21.9,16057,40,,,128,284000
2025-08-01,lethal_company,629,247,64.7,46895,37,-3,-7.5,122,453000
2025-09-01,lethal_company,653,24,3.8,55076,47,10,27.0,218,486000
2025-10-01,lethal_company,478,-175,-26.8,13734,41,-6,-12.8,237,344000
2025-11-01,lethal_company,601,123,25.7,18473,37,-4,-10.0,103,447000
2025-12-01,lethal_company,569,-32,-5.3,8649,44,7,18.9,129,407000
2026-01-01,lethal_company,367,-202,-35.5,14468,39,-5,-11.4,150,247000
2026-02-01,lethal_company,378,11,3.0,6340,38,-1,-2.6,116,282000
2026-03-01,lethal_company,1609,1231,326.0,17801,71,33,86.8,258,926000
