month,game,avg_viewers,viewers_gain,viewers_pct_gain,peak_viewers,avg_streams,streams_gain,streams_pct_gain,peak_streams,hours_watched
2021-12-01,vampire_survivors,13096,,,140405,81,,,306,6550000
2022-01-01,vampire_survivors,11905,-1191,-9.1,66175,147,66,81.5,345,7930000
2022-02-01,vampire_survivors,2495,-9410,-79.0,81532,58,-89,-60.5,161,1820000
2022-03-01,vampire_survivors,6242,3747,150.0,92803,94,36,62.1,212,4490000
2022-04-01,vampire_survivors,2448,-3794,-60.8,84489,63,-31,-33.0,138,1820000
2022-05-01,vampire_survivors,1186,-1262,-51.6,26627,39,-24,-38.1,101,853000
2022-06-01,vampire_survivors,598,-588,-49.6,10083,27,-12,-30.8,74,442000
2022-07-01,vampire_survivors,290,-308,-51.5,8214,19,-8,-29.6,56,216000
2022-08-01,vampire_survivors,176,-114,-39.0,3910,13,-6,-31.6,32,126000
2022-09-01,vampire_survivors,1707,1531,870.0,37120,26,13,100.0,125,1250000
2022-10-01,vampire_survivors,533,-1174,-68.8,22260,35,9,35.0,90,383000
2022-11-01,vampire_survivors,887,354,66.4,14944,37,2,5.7,137,659000
2022-12-01,vampire_survivors,1149,262,29.5,13116,43,6,16.2,104,846000
2023-01-01,vampire_survivors,227,-922,-80.2,12120,23,-20,-46.5,57,151000
2023-02-01,vampire_survivors,160,-67,-29.5,6588,16,-7,-30.4,37,118000
2023-03-01,vampire_survivors,494,334,209.0,23256,28,12,75.0,126,355000
2023-04-01,vampire_survivors,97,-397,-80.0,15360,14,-14,-50.0,40,72500
2023-05-01,vampire_survivors,96,-1,-1.0,10708,11,-3,-21.4,35,69200
2023-06-01,vampire_survivors,150,54,56.3,3527,13,2,18.2,31,111000
2023-07-01,vampire_survivors,533,383,255.0,50765,22,9,69.2,61,394000
2023-08-01,vampire_survivors,1107,574,108.0,32621,22,,,50,795000
2023-09-01,vampire_survivors,240,-867,-78.3,10562,18,-4,-18.2,47,178000
2023-10-01,vampire_survivors,178,-62,-25.8,9853,15,-3,-16.7,39,128000
2023-11-01,vampire_survivors,454,276,155.0,16827,20,5,33.3,89,337000
2023-12-01,vampire_survivors,208,-246,-54.2,15074,15,-5,-25.0,48,152000
2024-01-01,vampire_survivors,260,52,25.0,6170,11,-4,-27.0,28,181000
2024-02-01,vampire_survivors,149,-111,-42.7,3782,12,1,9.1,30,111000
2024-03-01,vampire_survivors,56,-93,-62.4,1031,8,-4,-33.3,24,40100
2024-04-01,vampire_survivors,220,164,293.0,23289,14,6,75.0,50,164000
2024-05-01,vampire_survivors,215,-5,-2.3,32107,9,-5,-35.7,24,153000
2024-06-01,vampire_survivors,55,-160,-74.4,6048,7,-2,-22.2,19,40800
2024-07-01,vampire_survivors,101,46,83.6,6401,10,3,43.0,46,73500
2024-08-01,vampire_survivors,197,96,95.0,24832,16,6,60.0,42,141000
2024-09-01,vampire_survivors,123,-74,-37.6,9710,14,-2,-12.5,182,91100
2024-10-01,vampire_survivors,431,308,250.0,12770,31,17,121.0,209,310000
2024-11-01,vampire_survivors,147,-284,-65.9,8393,15,-16,-51.6,49,109000
2024-12-01,vampire_survivors,71,-76,-51.7,1693,13,-2,-13.3,30,52600
2025-01-01,vampire_survivors,172,101,142.0,10685,10,-3,-23.1,27,116000
2025-02-01,vampire_survivors,117,-55,-32.0,22240,9,-1,-10.0,25,87400
2025-03-01,vampire_survivors,105,-12,-10.0,2920,12,3,33.3,48,75800
2025-04-01,vampire_survivors,66,-39,-37.1,2770,8,-4,-33.3,22,49100
2025-05-01,vampire_survivors,63,-3,-4.5,1884,7,-1,-12.5,24,45600
2025-06-01,vampire_survivors,390,327,519.0,29718,7,,,19,289000
2025-07-01,vampire_survivors,310,-80,-20.5,17083,7,,,19,231000
2025-08-01,vampire_survivors,138,-172,-55.5,14309,7,,,22,99400
2025-09-01,vampire_survivors,86,-52,-37.7,9186,11,4,57.1,67,64300
2025-10-01,vampire_survivors,94,8,9.3,1585,18,7,63.6,61,68200
2025-11-01,vampire_survivors,57,-37,-39.4,467,9,-9,-50.0,25,42400
2025-12-01,vampire_survivors,78,21,36.8,2918,9,,,23,56900
2026-01-01,vampire_survivors,36,-42,-53.8,567,8,-1,-11.1,22,24200
2026-02-01,vampire_survivors,28,-8,-22.2,1201,6,-2,-25.0,21,21400
2026-03-01,vampire_survivors,49,21,75.0,6678,6,,,19,28500
