Month,Avg Viewers,Gain,% Gain,Peak Viewers,Avg Streams,Gain,% Gain,Peak Streams,Hours Watched
Mar 2026,"2,625",306,0.132,"122,034",67,-,-,227,1.51M
Feb 2026,"2,319",-500,-17.70%,"89,348",67,-7,-9.50%,211,1.73M
Jan 2026,"2,819",337,0.136,"142,456",74,-9,-10.80%,236,1.89M
Dec 2025,"2,482",182,0.079,"210,509",83,23,0.383,269,1.83M
Nov 2025,"2,300",253,0.124,"164,867",60,5,0.091,189,1.71M
Oct 2025,"2,047",23,0.011,"69,098",55,-3,-5.20%,181,1.47M
Sep 2025,"2,024",203,0.111,"70,270",58,-,-,216,1.51M
Aug 2025,"1,821",-504,-21.70%,"85,745",58,-1,-1.70%,200,1.31M
Jul 2025,"2,325",-30,-1.30%,"123,673",59,-1,-1.70%,159,1.73M
Jun 2025,"2,355",504,0.272,"85,613",60,-,-,178,1.75M
May 2025,"1,851","-1,065",-36.50%,"63,223",60,-1,-1.60%,188,1.33M
Apr 2025,"2,916",593,0.255,"83,442",61,4,0.07,184,2.17M
Mar 2025,"2,323",-657,-22%,"60,975",57,-24,-29.60%,189,1.67M
Feb 2025,"2,980","-1,392",-31.80%,"75,013",81,3,0.038,352,2.21M
Jan 2025,"4,372","-1,344",-23.50%,"114,629",78,1,0.013,273,2.93M
Dec 2024,"5,716",2827,0.979,"116,857",77,10,0.149,261,4.24M
Nov 2024,"2,889",1,-,"74,518",67,3,0.047,201,2.15M
Oct 2024,"2,888",266,0.101,"104,216",64,-6,-8.60%,196,2.08M
Sep 2024,"2,622",160,0.065,"70,568",70,-10,-12.50%,222,1.93M
Aug 2024,"2,462",-485,-16.50%,"104,083",80,-11,-12.10%,237,1.74M
Jul 2024,"2,947",-72,-2.40%,"67,904",91,-9,-9%,282,2.17M
Jun 2024,"3,019",252,0.091,"62,319",100,22,0.282,244,2.24M
May 2024,"2,767",-102,-3.60%,"63,180",78,7,0.099,215,1.99M
Apr 2024,"2,869","-1,062",-27%,"72,937",71,-8,-10.10%,220,2.13M
Mar 2024,"3,931",912,0.302,"67,818",79,-2,-2.50%,237,2.81M
Feb 2024,"3,019",436,0.169,"97,512",81,1,0.013,247,2.24M
Jan 2024,"2,583",-591,-18.60%,"63,862",80,-7,-8%,229,1.80M
Dec 2023,"3,174",1281,0.677,"100,405",87,12,0.16,250,2.32M
Nov 2023,"1,893","-1,492",-44.10%,"40,437",75,-10,-11.80%,292,1.40M
Oct 2023,"3,385",381,0.127,"98,159",85,-4,-4.50%,243,2.43M
Sep 2023,"3,004",-356,-10.60%,"99,679",89,3,0.035,321,2.22M
Aug 2023,"3,360",-217,-6.10%,"176,156",86,-8,-8.50%,259,2.41M
Jul 2023,"3,577",163,0.048,"241,472",94,-9,-8.70%,257,2.64M
Jun 2023,"3,414",-516,-13.10%,"85,035",103,16,0.184,260,2.52M
May 2023,"3,930",569,0.169,"116,420",87,8,0.101,247,2.82M
Apr 2023,"3,361",-595,-15%,"90,804",79,-12,-13.20%,264,2.50M
Mar 2023,"3,956",478,0.137,"152,233",91,2,0.022,273,2.84M
Feb 2023,"3,478",555,0.19,"78,933",89,14,0.187,291,2.56M
Jan 2023,"2,923",1733,1.46,"64,428",75,56,2.95,297,1.93M
Dec 2022,"1,190","-3,472",-74.50%,"137,769",19,-95,-83.30%,290,866K
Nov 2022,"4,662",-776,-14.30%,"129,528",114,18,0.188,461,3.46M
Oct 2022,"5,438",1796,0.493,"205,289",96,-3,-3%,294,3.91M
