Month,Avg Viewers,Gain,% Gain,Peak Viewers,Avg Streams,Gain,% Gain,Peak Streams,Hours Watched
Mar 2026,"1,856","-1,589",-46.10%,"76,350",61,-4,-6.20%,162,1.07M
Feb 2026,"3,445",1566,83.30%,"115,145",65,5,8.30%,171,2.56M
Jan 2026,"1,879",869,86.00%,"251,855",60,-4,-6.30%,139,1.26M
Dec 2025,"1,010",21,0.021,"35,436",64,11,0.208,144,710K
Nov 2025,989,183,22.70%,"41,381",53,-1,-2%,117,736K
Oct 2025,806,111,0.16,"50,623",54,1,1.90%,189,581K
Sep 2025,695,-378,-35.20%,"29,475",53,-12,-18.50%,137,517K
Aug 2025,"1,073",-33,-3.00%,"38,331",65,-17,-20.70%,157,773K
Jul 2025,"1,106",-691,-38.50%,"61,270",82,3,0.038,166,822K
Jun 2025,"1,797",262,0.171,"100,725",79,-1,-1.30%,186,1.34M
May 2025,"1,535",277,22.00%,"46,103",80,1,1.30%,229,1.11M
Apr 2025,"1,258",-266,-17.50%,"33,896",79,-8,-9.20%,164,936K
Mar 2025,"1,524",111,8%,"35,319",87,11,14.50%,216,1.10M
Feb 2025,"1,413",-91,-6.10%,"43,933",76,-6,-7%,162,1.05M
Jan 2025,"1,504",-433,-22.40%,"36,281",82,-,-,183,1.01M
Dec 2024,"1,937",453,30.50%,"49,155",82,5,6.50%,198,1.44M
Nov 2024,"1,484",23,1.60%,"42,556",77,-4,-4.90%,266,1.10M
Oct 2024,"1,461",-491,-25.20%,"48,926",81,-16,-16.50%,213,1.05M
Sep 2024,"1,952",-240,-10.90%,"43,997",97,-24,-19.80%,248,1.43M
Aug 2024,"2,192",-388,-15.00%,"37,791",121,-33,-21.40%,267,1.56M
Jul 2024,"2,580",466,22.00%,"67,191",154,22,17%,433,1.88M
Jun 2024,"2,114",295,16.20%,"53,924",132,2,1.50%,258,1.57M
May 2024,"1,819",59,3.40%,"45,997",130,2,1.60%,385,1.31M
Apr 2024,"1,760",-427,-20%,"41,305",128,-6,-4.50%,266,1.31M
Mar 2024,"2,187",-709,-24.50%,"126,609",134,-30,-18.30%,280,1.57M
Feb 2024,"2,896",48,1.70%,"79,943",164,-,-,586,2.15M
Jan 2024,"2,848",68,2.40%,"88,311",164,-9,-5%,351,1.98M
Dec 2023,"2,780",410,17.30%,"72,284",173,24,16%,358,2.02M
Nov 2023,"2,370",-59,-2.40%,"55,906",149,-5,-3.20%,713,1.76M
Oct 2023,"2,429",-81,-3.20%,"45,123",154,-25,-14.00%,311,1.75M
Sep 2023,"2,510","-1,289",-33.90%,"39,426",179,-36,-16.70%,392,1.86M
Aug 2023,"3,799",-337,-8.10%,"55,393",215,-45,-17.30%,471,2.72M
Jul 2023,"4,136",-951,-18.70%,"117,244",260,-27,-9.40%,496,3.06M
Jun 2023,"5,087",-849,-14.30%,"90,593",287,15,0.055,547,3.76M
May 2023,"5,936","-1,282",-18%,"115,838",272,-4,-1.40%,526,4.26M
Apr 2023,"7,218",3620,101%,"136,683",276,67,32.10%,736,5.36M
Mar 2023,"3,598",60,0.017,"39,711",209,7,0.035,455,2.58M
Feb 2023,"3,538",-781,-18.10%,"70,762",202,-1,-0.50%,478,2.60M
