Month,Avg Viewers,Gain,% Gain,Peak Viewers,Avg Streams,Gain,% Gain,Peak Streams,Hours Watched
Mar 2026,"1,609","1,231",326.00%,"17,801",71,33,86.80%,258,926K
Feb 2026,378,11,3.00%,"6,340",38,-1,-2.60%,116,282K
Jan 2026,367,-202,-35.50%,"14,468",39,-5,-11.40%,150,247K
Dec 2025,569,-32,-5.30%,"8,649",44,7,0.189,129,407K
Nov 2025,601,123,25.70%,"18,473",37,-4,-10%,103,447K
Oct 2025,478,-175,-26.80%,"13,734",41,-6,-12.80%,237,344K
Sep 2025,653,24,3.80%,"55,076",47,10,27.00%,218,486K
Aug 2025,629,247,64.70%,"46,895",37,-3,-7.50%,122,453K
Jul 2025,382,-107,-21.90%,"16,057",40,-,-,128,284K
Jun 2025,489,-425,-46.50%,"19,022",40,-16,-28.60%,129,364K
May 2025,914,471,106.00%,"40,477",56,17,43.60%,196,658K
Apr 2025,443,-6,-1.30%,"5,827",39,-4,-9.30%,115,330K
Mar 2025,449,-386,-46%,"17,221",43,-49,-53.30%,135,323K
Feb 2025,835,"-1,242",-59.80%,"17,058",92,-78,-46%,403,619K
Jan 2025,"2,077",-856,-29.20%,"30,095",170,-8,-4.50%,515,1.38M
Dec 2024,"2,933",602,25.80%,"43,629",178,48,36.90%,537,2.17M
Nov 2024,"2,331",501,27.40%,"35,104",130,-19,-12.80%,359,1.73M
Oct 2024,"1,830",-565,-23.60%,"24,968",149,-21,-12.40%,701,1.32M
Sep 2024,"2,395",-67,-2.70%,"47,529",170,-11,-6.10%,566,1.75M
Aug 2024,"2,462",-418,-14.50%,"48,760",181,4,2.30%,552,1.76M
Jul 2024,"2,880",637,28.40%,"54,003",177,27,18%,722,2.11M
Jun 2024,"2,243",559,33.20%,"51,234",150,6,4.20%,412,1.67M
May 2024,"1,684",-447,-21.00%,"40,429",144,-23,-13.80%,435,1.21M
Apr 2024,"2,131","-3,359",-61%,"36,842",167,-102,-37.90%,530,1.59M
Mar 2024,"5,490",1153,26.60%,"69,914",269,-58,-17.70%,825,3.93M
Feb 2024,"4,337","-2,800",-39.20%,"72,075",327,-239,-42.20%,"1,124",3.22M
Jan 2024,"7,137","-15,391",-68.30%,"59,866",566,-581,-51%,"1,751",4.96M
Dec 2023,"22,528","-14,150",-38.60%,"100,554","1,147",-378,-25%,"3,774",16.5M
Nov 2023,"36,678","12,965",54.70%,"143,794","1,525",872,134.00%,"4,718",27.1M
Oct 2023,"23,713",22298,1600.00%,"180,755",653,646,9200.00%,"3,601",17.0M
Sep 2023,"1,415",-,-,"38,927",7,-,-,81,537K
