Month,Avg Viewers,Gain,% Gain,Peak Viewers,Avg Streams,Gain,% Gain,Peak Streams,Hours Watched
Mar 2026,49,21,0.75,"6,678",6,-,-,19,28.5K
Feb 2026,28,-8,-22.20%,"1,201",6,-2,-25.00%,21,21.4K
Jan 2026,36,-42,-53.80%,567,8,-1,-11.10%,22,24.2K
Dec 2025,78,21,0.368,"2,918",9,-,-,23,56.9K
Nov 2025,57,-37,-39.40%,467,9,-9,-50%,25,42.4K
Oct 2025,94,8,0.093,"1,585",18,7,63.60%,61,68.2K
Sep 2025,86,-52,-37.70%,"9,186",11,4,0.571,67,64.3K
Aug 2025,138,-172,-55.50%,"14,309",7,-,-,22,99.4K
Jul 2025,310,-80,-20.50%,"17,083",7,-,-,19,231K
Jun 2025,390,327,5.19,"29,718",7,-,-,19,289K
May 2025,63,-3,-4.50%,"1,884",7,-1,-12.50%,24,45.6K
Apr 2025,66,-39,-37.10%,"2,770",8,-4,-33.30%,22,49.1K
Mar 2025,105,-12,-10%,"2,920",12,3,33.30%,48,75.8K
Feb 2025,117,-55,-32.00%,"22,240",9,-1,-10%,25,87.4K
Jan 2025,172,101,142.00%,"10,685",10,-3,-23.10%,27,116K
Dec 2024,71,-76,-51.70%,"1,693",13,-2,-13.30%,30,52.6K
Nov 2024,147,-284,-65.90%,"8,393",15,-16,-51.60%,49,109K
Oct 2024,431,308,2.5,"12,770",31,17,121.00%,209,310K
Sep 2024,123,-74,-37.60%,"9,710",14,-2,-12.50%,182,91.1K
Aug 2024,197,96,95.00%,"24,832",16,6,60.00%,42,141K
Jul 2024,101,46,83.60%,"6,401",10,3,43%,46,73.5K
Jun 2024,55,-160,-74.40%,"6,048",7,-2,-22.20%,19,40.8K
May 2024,215,-5,-2.30%,"32,107",9,-5,-35.70%,24,153K
Apr 2024,220,164,293%,"23,289",14,6,75.00%,50,164K
Mar 2024,56,-93,-62.40%,"1,031",8,-4,-33.30%,24,40.1K
Feb 2024,149,-111,-42.70%,"3,782",12,1,0.091,30,111K
Jan 2024,260,52,25.00%,"6,170",11,-4,-27%,28,181K
Dec 2023,208,-246,-54.20%,"15,074",15,-5,-25%,48,152K
Nov 2023,454,276,155.00%,"16,827",20,5,33.30%,89,337K
Oct 2023,178,-62,-25.80%,"9,853",15,-3,-16.70%,39,128K
Sep 2023,240,-867,-78.30%,"10,562",18,-4,-18.20%,47,178K
Aug 2023,"1,107",574,108.00%,"32,621",22,-,-,50,795K
Jul 2023,533,383,2.55,"50,765",22,9,69.20%,61,394K
Jun 2023,150,54,56.30%,"3,527",13,2,0.182,31,111K
May 2023,96,-1,-1%,"10,708",11,-3,-21.40%,35,69.2K
Apr 2023,97,-397,-80%,"15,360",14,-14,-50.00%,40,72.5K
Mar 2023,494,334,2.09,"23,256",28,12,0.75,126,355K
Feb 2023,160,-67,-29.50%,"6,588",16,-7,-30.40%,37,118K
Jan 2023,227,-922,-80.20%,"12,120",23,-20,-46.50%,57,151K
Dec 2022,"1,149",262,29.50%,"13,116",43,6,16.20%,104,846K
Nov 2022,887,354,66.40%,"14,944",37,2,0.057,137,659K
Oct 2022,533,"-1,174",-68.80%,"22,260",35,9,35%,90,383K
Sep 2022,"1,707",1531,870.00%,"37,120",26,13,100.00%,125,1.25M
Aug 2022,176,-114,-39%,"3,910",13,-6,-31.60%,32,126K
Jul 2022,290,-308,-51.50%,"8,214",19,-8,-29.60%,56,216K
Jun 2022,598,-588,-49.60%,"10,083",27,-12,-30.80%,74,442K
May 2022,"1,186","-1,262",-51.60%,"26,627",39,-24,-38.10%,101,853K
Apr 2022,"2,448","-3,794",-60.80%,"84,489",63,-31,-33.00%,138,1.82M
Mar 2022,"6,242",3747,1.5,"92,803",94,36,0.621,212,4.49M
Feb 2022,"2,495","-9,410",-79%,"81,532",58,-89,-60.50%,161,1.82M
Jan 2022,"11,905","-1,191",-9.10%,"66,175",147,66,81.50%,345,7.93M
Dec 2021,"13,096",-,-,"140,405",81,-,-,306,6.55M
